construct,promoter,name,ts,miR,ts_num,ts_kind,design,group
UT,na,untransfected,na,na,0,na,0,un
UI,na,uninfected,na,na,0,na,0,un
KL012,pMXs,pMXs-MCP-mCherry,none,none,0,na,0,base
KL019,pMXs,pMXs-MCP-mCherry(miR.FF3)-TS.FF3x1,FF3x1,miR.FF3,1,T,1,controller
KL020,pMXs,pMXs-MCP-mCherry(miR.FF3)-TS.FF3x4,FF3x4,miR.FF3,4,T,1,controller
KL021,pMXs,pMXs-MCP-mCherry(miR.FF3)-TS.FF5x4,FF5x4,miR.FF3,4,NT,1,controller
RC013,CMV,CMV-MCP-mCherry(miR.FF3)-TS.FF3x1,FF3x1,miR.FF3,1,T,1,controller
RC014,CMV,CMV-MCP-mCherry(miR.FF3)-TS.FF3x4,FF3x4,miR.FF3,4,T,1,controller
RC015,CMV,CMV-MCP-mCherry(miR.FF3)-TS.FF5x4,FF5x4,miR.FF3,4,NT,1,controller
RC016,CMV,CMV-MCP-mCherry(miR.FF5)-TS.FF3x4,FF3x4,miR.FF5,4,NT,1,controller
RC017,CMV,CMV-MCP-mCherry(miR.FF5)-TS.FF5x1,FF5x1,miR.FF5,1,T,1,controller
RC018,CMV,CMV-MCP-mCherry(miR.FF5)-TS.FF5x4,FF5x4,miR.FF5,4,T,1,controller
RC043,UbC,UbC-tagBFP-bGH,na,na,0,na,0,marker
RC047.v2,CMV,CMV-TS.FF3x4-MCP-mCherry(miR.FF5)-bGH,FF3x4,miR.FF5,4,NT,2,controller
RC049,CMV,CMV-TS.FF5x4-MCP-mCherry(miR.FF5)-bGH,FF5x4,miR.FF5,4,T,2,controller
RC051.v2,CMV,CMV-TS.FF3x4-MCP-mCherry-miR.FF5-bGH,FF3x4,miR.FF5,4,NT,3,controller
RC053,CMV,CMV-TS.FF5x4-MCP-mCherry-miR.FF5-bGH,FF5x4,miR.FF5,4,T,3,controller
RC054,CMV,CMV-TS.FF3x3.5x1-MCP-mCherry(miR.FF5)-bGH,FF3x3.5x1,miR.FF5,1,T,2,controller
RC055,CMV,CMV-TS.FF3x3.5x1-MCP-mCherry-miR.FF5-bGH,FF3x3.5x1,miR.FF5,1,T,3,controller
RC056,pMXs,pMXs-MCP-mCherry(miR.FF5)-TS.FF3x4,FF3x4,miR.FF5,4,NT,1,controller
RC057,pMXs,pMXs-MCP-mCherry(miR.FF5)-TS.FF5x4,FF5x4,miR.FF5,4,T,1,controller
RC058,pMXs,pMXs-TS.FF3x4-MCP-mCherry-miR.FF5,FF3x4,miR.FF5,4,NT,3,controller
RC059,pMXs,pMXs-TS.FF5x4-MCP-mCherry-miR.FF5,FF5x4,miR.FF5,4,T,3,controller
RC060,pMXs,pMXs-MCP-mCherry(miR.FF5)-TS.FF5x1,FF5x1,miR.FF5,1,T,1,controller
RC061,pMXs,pMXs-TS.FF3x3.5x1-MCP-mCherry-miR.FF5,FF3x3.5x1,miR.FF5,1,T,3,controller
RC062,TRE3G,TRE3G-MCP-mCherry(miR.FF5)-TS.FF3x4-bGH,FF3x4,miR.FF5,4,NT,1,controller
RC063,TRE3G,TRE3G-MCP-mCherry(miR.FF5)-TS.FF5x4-bGH,FF5x4,miR.FF5,4,T,1,controller
RC064,TRE3G,TRE3G-TS.FF3x4-MCP-mCherry(miR.FF5)-bGH,FF3x4,miR.FF5,4,NT,2,controller
RC065,TRE3G,TRE3G-TS.FF5x4-MCP-mCherry(miR.FF5)-bGH,FF5x4,miR.FF5,4,T,2,controller
RC066,TRE3G,TRE3G-TS.FF3x4-MCP-mCherry-miR.FF5-bGH,FF3x4,miR.FF5,4,NT,3,controller
RC067,TRE3G,TRE3G-TS.FF5x4-MCP-mCherry-miR.FF5-bGH,FF5x4,miR.FF5,4,T,3,controller
RC068,TRE3G,TRE3G-MCP-mCherry-bGH,none,none,0,na,0,base
RC069,EFS,EFS-mRuby2-bGH,none,none,0,na,0,base
RC070,EFS,EFS-mRuby2(miRE.FF4)-TS.FF6x4-bGH,FF6x4,miRE.FF4,4,NT,1,controller
RC071,EFS,EFS-mRuby2(miRE.FF4)-TS.FF6x3.4x1-bGH,FF6x3.4x1,miRE.FF4,1,T,1,controller
RC072,EFS,EFS-mRuby2(miRE.FF4)-TS.FF4x4-bGH,FF4x4,miRE.FF4,4,T,1,controller
RC073,EFS,EFS-TS.FF6x4-mRuby2(miRE.FF4)-bGH,FF6x4,miRE.FF4,4,NT,2,controller
RC074,EFS,EFS-TS.FF6x3.4x1-mRuby2(miRE.FF4)-bGH,FF6x3.4x1,miRE.FF4,1,T,2,controller
RC075,EFS,EFS-TS.FF4x4-mRuby2(miRE.FF4)-bGH,FF4x4,miRE.FF4,4,T,2,controller
RC076,EFS,EFS-TS.FF6x4-mRuby2-miRE.FF4-bGH,FF6x4,miRE.FF4,4,NT,3,controller
RC077,EFS,EFS-TS.FF6x3.4x1-mRuby2-miRE.FF4-bGH,FF6x3.4x1,miRE.FF4,1,T,3,controller
RC078,EFS,EFS-TS.FF4x4-mRuby2-miRE.FF4-bGH,FF4x4,miRE.FF4,4,T,3,controller
RC079,hPGK,hPGK-mRuby2-bGH,none,none,0,na,0,base
RC080,hPGK,hPGK-mRuby2(miRE.FF4)-TS.FF6x4-bGH,FF6x4,miRE.FF4,4,NT,1,controller
RC081,hPGK,hPGK-mRuby2(miRE.FF4)-TS.FF6x3.4x1-bGH,FF6x3.4x1,miRE.FF4,1,T,1,controller
RC082,hPGK,hPGK-mRuby2(miRE.FF4)-TS.FF4x4-bGH,FF4x4,miRE.FF4,4,T,1,controller
RC083,hPGK,hPGK-TS.FF6x4-mRuby2(miRE.FF4)-bGH,FF6x4,miRE.FF4,4,NT,2,controller
RC084,hPGK,hPGK-TS.FF6x3.4x1-mRuby2(miRE.FF4)-bGH,FF6x3.4x1,miRE.FF4,1,T,2,controller
RC085,hPGK,hPGK-TS.FF4x4-mRuby2(miRE.FF4)-bGH,FF4x4,miRE.FF4,4,T,2,controller
RC086,hPGK,hPGK-TS.FF6x4-mRuby2-miRE.FF4-bGH,FF6x4,miRE.FF4,4,NT,3,controller
RC087,hPGK,hPGK-TS.FF6x3.4x1-mRuby2-miRE.FF4-bGH,FF6x3.4x1,miRE.FF4,1,T,3,controller
RC088,hPGK,hPGK-TS.FF4x4-mRuby2-miRE.FF4-bGH,FF4x4,miRE.FF4,4,T,3,controller
RC089,UbC,UbC-mGL-WPRE,na,na,0,na,0,marker
RC090,UbC,UbC-PuroR-T2A-mGL-SV40pA,na,na,0,na,0,marker
RC091,EFS,EFS-MCP-mCherry(miR.FF5)-TS.FF3x4-bGH,FF3x4,miR.FF5,4,NT,1,controller
RC092,EFS,EFS-MCP-mCherry(miR.FF5)-TS.FF5x4-bGH,FF5x4,miR.FF5,4,T,1,controller
RC093,EFS,EFS-TS.FF3x4-MCP-mCherry(miR.FF5)-bGH,FF3x4,miR.FF5,4,NT,2,controller
RC094,EFS,EFS-TS.FF5x4-MCP-mCherry(miR.FF5)-bGH,FF5x4,miR.FF5,4,T,2,controller
RC095,EFS,EFS-TS.FF3x4-MCP-mCherry-miR.FF5-bGH,FF3x4,miR.FF5,4,NT,3,controller
